VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
1,"12/1/2020, 5:37:13 AM","12/1/2020, 5:48:12 AM",1,7.6,1,N,138,263,1,21.5,3,0.5,2.5,6.12,0.3,33.92,2.5,-
1,"12/1/2020, 6:11:19 AM","12/1/2020, 6:19:45 AM",1,1.6,1,N,140,263,1,8,3,0.5,2.95,0,0.3,14.75,2.5,-
2,"12/1/2020, 6:03:40 AM","12/1/2020, 6:30:35 AM",1,16.74,2,N,132,164,1,52,0,0.5,2.5,6.12,0.3,63.92,2.5,-
2,"12/1/2020, 5:32:15 AM","12/1/2020, 5:43:09 AM",1,4.16,1,N,238,48,1,14,0.5,0.5,1,0,0.3,18.8,2.5,-
2,"12/1/2020, 6:07:42 AM","12/1/2020, 6:15:11 AM",1,2.22,1,N,238,41,2,8.5,0.5,0.5,0,0,0.3,9.8,0,-
1,"12/1/2020, 5:57:47 AM","12/1/2020, 6:15:40 AM",0,8.4,1,N,138,137,1,25,3,0.5,6,6.12,0.3,40.92,2.5,-
2,"12/1/2020, 6:10:47 AM","12/1/2020, 6:27:03 AM",1,6.44,1,N,132,191,1,19.5,0.5,0.5,4.16,0,0.3,24.96,0,-
2,"12/1/2020, 5:31:42 AM","12/1/2020, 5:36:06 AM",1,0.99,1,N,234,137,1,5.5,0.5,0.5,1.86,0,0.3,11.16,2.5,-
2,"12/1/2020, 6:28:24 AM","12/1/2020, 7:06:14 AM",2,11.81,1,N,261,7,1,36.5,0.5,0.5,1,0,0.3,41.3,2.5,-
1,"12/1/2020, 5:38:15 AM","12/1/2020, 5:46:04 AM",2,2.7,1,N,237,107,1,9.5,3,0.5,2.65,0,0.3,15.95,2.5,-
2,"12/1/2020, 5:34:21 AM","12/1/2020, 5:59:00 AM",1,6.28,1,N,41,68,2,23,0.5,0.5,0,0,0.3,26.8,2.5,-
2,"12/1/2020, 5:52:03 AM","12/1/2020, 6:22:55 AM",1,18.93,2,N,132,211,1,52,0,0.5,12.28,6.12,0.3,73.7,2.5,-
2,"12/1/2020, 6:16:31 AM","12/1/2020, 6:23:49 AM",5,2.75,1,N,249,230,2,9.5,0.5,0.5,0,0,0.3,13.3,2.5,-
2,"12/1/2020, 6:21:30 AM","12/1/2020, 6:56:52 AM",2,21.8,2,N,132,13,1,52,0,0.5,11.06,0,0.3,66.36,2.5,-
